[2017/03/06 10:57:27:017]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:017]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:27:317]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:27:317]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:331]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:332]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:27:632]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:27:632]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:641]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:642]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:27:942]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:27:942]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:950]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:27:950]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:28:250]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:28:250]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:28:256]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:28:257]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:28:557]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:28:557]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:28:566]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:28:566]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:28:866]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:28:866]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:28:883]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:28:883]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:29:183]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:29:184]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:29:193]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:29:194]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:29:494]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:29:494]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:29:504]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:29:505]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:29:805]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:29:806]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:29:814]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:29:815]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:30:115]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:30:115]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:30:143]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:30:143]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:30:443]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:30:444]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:30:468]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:30:468]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:30:768]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:30:768]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:30:781]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:30:782]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:31:082]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:31:082]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:31:094]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:31:095]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:31:395]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:31:395]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:31:407]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:31:408]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:31:708]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:31:708]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:31:738]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:31:738]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:32:039]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:32:039]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:32:094]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:32:094]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:32:394]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:32:394]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:32:413]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:32:413]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:32:713]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:32:713]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:32:726]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:32:726]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:33:026]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:33:026]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:33:044]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:33:044]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:33:345]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:33:345]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:33:381]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:33:381]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:33:681]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:33:681]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:33:693]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:33:694]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:33:994]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:33:994]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:005]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:005]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:34:305]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:34:305]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:327]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:327]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:34:627]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:34:627]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:636]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:636]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:34:936]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:34:937]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:952]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:34:952]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:35:256]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:35:257]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:35:264]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:35:264]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:35:564]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:35:564]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:35:578]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:35:579]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:35:880]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:35:880]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:35:888]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:35:888]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:36:188]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:36:188]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:36:203]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:36:203]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:36:503]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:36:503]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:36:511]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:36:515]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:36:821]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:36:821]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:36:837]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:36:837]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:37:149]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:37:149]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:37:149]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:37:149]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:37:461]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:37:461]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:37:476]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:37:476]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:37:789]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:37:789]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:37:789]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:37:789]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:38:101]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:38:117]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:38:117]|COPERNICUS|: (ERROR) -> This is not an Mjpeg stream http://roborio-5431-frc:1181/stream/stream.mjpg
[2017/03/06 10:57:38:117]|COPERNICUS|: Content type text/plain
[2017/03/06 10:57:38:429]|COPERNICUS|: Camera stream disconnected!
[2017/03/06 10:57:38:429]|COPERNICUS|: Connecting to http://roborio-5431-frc:1181/stream/stream.mjpg
